Name;Seconds;AlbumId
Lanterna Dos Afogados;205;56
Coroné Antonio Bento;200;56
Você Passa, Eu Acho Graça (Ao Vivo);207;56
Meu Mundo Fica Completo (Com Você);248;56
1° De Julho;270;56
Música Urbana 2;195;56
Vida Bandida (Ao Vivo);193;56
Palavras Ao Vento;212;56
Não Sei O Que Eu Quero Da Vida;152;56
Woman Is The Nigger Of The World (Ao Vivo);299;56
Juventude Transviada (Ao Vivo);279;56
Malandragem;248;57
O Segundo Sol;252;57
Smells Like Teen Spirit (Ao Vivo);317;57
E.C.T.;228;57
Todo Amor Que Houver Nesta Vida;227;57
Metrô. Linha 743;175;57
Nós (Ao Vivo);194;57
Na Cadência Do Samba;196;57
Admirável Gado Novo;274;57
Eleanor Rigby;189;57
Socorro;259;57
Blues Da Piedade;257;57
Rubens;212;57
Não Deixe O Samba Morrer - Cassia Eller e Alcione;268;57
Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos);188;57
Comin' Home;236;58
Lady Luck;168;58
Gettin' Tighter;218;58
Dealer;231;58
I Need Love;264;58
Drifter;243;58
Love Child;188;58
This Time Around / Owed to 'G' [Instrumental];370;58
You Keep On Moving;319;58
Speed King;264;59
Bloodsucker;256;59
Child In Time;620;59
Flight Of The Rat;478;59
Into The Fire;210;59
Living Wreck;275;59
Hard Lovin' Man;431;59
Fireball;205;60
No No No;415;60
Strange Kind Of Woman;247;60
Anyone's Daughter;285;60
The Mule;322;60
Fools;500;60
No One Came;386;60
Knocking At Your Back Door;425;61
Bad Attitude;308;61
Child In Time (Son Of Aleric - Instrumental);603;61
Nobody's Home;243;61
Black Night;369;61
Perfect Strangers;321;61
The Unwritten Law;295;61
Call Of The Wild;294;61
Hush;213;61
Smoke On The Water;464;61
Space Trucking;341;61
Highway Star;369;62
Maybe I'm A Leo;290;62
Pictures Of Home;304;62
Never Before;240;62
Smoke On The Water;341;62
Lazy;442;62
Space Truckin';273;62
Vavoom : Ted The Mechanic;257;63
Loosen My Strings;360;63
Soon Forgotten;288;63
Sometimes I Feel Like Screaming;452;63
Cascades : I'm Not Your Lover;284;63
The Aviator;321;63
Rosa's Cantina;312;63
A Castle Full Of Rascals;312;63
A Touch Away;276;63
Hey Cisco;354;63
Somebody Stole My Guitar;249;63
The Purpendicular Waltz;284;63
King Of Dreams;328;64
The Cut Runs Deep;343;64
Fire In The Basement;284;64
Truth Hurts;315;64
Breakfast In Bed;317;64
Love Conquers All;227;64
Fortuneteller;349;64
Too Much Is Not Enough;258;64
Wicked Ways;394;64
Stormbringer;246;65
Love Don't Mean a Thing;264;65
Holy Man;270;65
Hold On;307;65
Lady Double Dealer;201;65
You Can't Do it Right (With the One You Love);204;65
High Ball Shooter;268;65
The Gypsy;243;65
Soldier Of Fortune;194;65
The Battle Rages On;357;66
Lick It Up;240;66
Anya;392;66
Talk About Love;248;66
Time To Kill;351;66
Ramshackle Man;334;66
A Twist In The Tail;257;66
Nasty Piece Of Work;277;66
Solitaire;282;66
One Man's Meat;279;66
Pour Some Sugar On Me;293;67
Photograph;249;67
Love Bites;347;67
Let's Get Rocked;296;67
Two Steps Behind [Acoustic Version];260;67
Animal;245;67
Heaven Is;214;67
Rocket;247;67
When Love & Hate Collide;257;67
Action;221;67
Make Love Like A Man;256;67
Armageddon It;322;67
